,passer,x,y,y
,,mean,mean,count
0,Aymeric Laporte,31.238028169014086,72.54225352112677,71
1,Dani Olmo,65.86086956521739,84.11739130434783,23
2,Daniel Carvajal,44.88947368421052,13.913157894736843,38
3,Ferran Torres,57.59090909090909,38.75454545454546,11
4,Gavi,60.8875,36.5875,8
5,Jordi Alba,48.04705882352941,89.94705882352942,51
6,Marco Asensio,57.788000000000004,66.572,25
7,Pedri,50.45789473684211,68.8157894736842,38
8,Rodri,33.773770491803276,33.92295081967213,61
9,Sergio Busquets,39.976,53.86,25
10,Unai Simón,9.136111111111111,49.172222222222224,36
