"match_id","results_id","home_abbr","away_abbr"
400128082,128084,"QAT","ECU"
400235458,132997,"ENG","IRN"
400235449,132996,"SEN","NED"
400235455,132995,"USA","WAL"
400235461,133001,"ARG","KSA"
400235466,132999,"DEN","TUN"
400235463,133000,"MEX","POL"
400235470,132998,"FRA","AUS"
400235481,133003,"MAR","CRO"
400235476,133005,"GER","JPN"
400235472,133004,"ESP","CRC"
400235477,133002,"BEL","CAN"
400235488,133006,"SUI","CMR"
400235491,133008,"URU","KOR"
400235493,133017,"POR","GHA"
400235484,133007,"BRA","SRB"
400235453,133011,"WAL","IRN"
400235448,133009,"QAT","SEN"
400235452,133010,"NED","ECU"
400235457,133012,"ENG","USA"
400235469,133015,"TUN","AUS"
400235459,133013,"POL","KSA"
400235467,133016,"FRA","DEN"
400235462,133014,"ARG","MEX"
400235471,133020,"JPN","CRC"
400235480,133018,"BEL","MAR"
400235482,133019,"CRO","CAN"
400235474,133021,"ESP","GER"
400235487,133022,"CMR","SRB"
400235489,133024,"KOR","GHA"
400235485,133023,"BRA","SUI"
400235492,133025,"POR","URU"
400235450,133027,"NED","QAT"
400235451,133026,"ECU","SEN"
400235454,133029,"WAL","ENG"
400235456,133028,"IRN","USA"
400235468,133033,"AUS","DEN"
400235465,133032,"TUN","FRA"
400235464,133031,"POL","ARG"
400235460,133030,"KSA","MEX"
400235478,133037,"CRO","BEL"
400235479,133036,"CAN","MAR"
400235475,133035,"JPN","ESP"
400235473,133034,"CRC","GER"
400235494,133041,"GHA","URU"
400235490,133040,"KOR","POR"
400235486,133039,"SRB","SUI"
400235483,133038,"CMR","BRA"
400128136,128068,"NED","USA"
400128131,128069,"ARG","AUS"
400128135,128071,"FRA","POL"
400128134,128070,"ENG","SEN"
400128132,128072,"JPN","CRO"
400128133,128073,"BRA","KOR"
400128137,128074,"MAR","ESP"
400128130,128075,"POR","SUI"
400128141,128077,"CRO","BRA"
400128139,128076,"NED","ARG"
400128140,128079,"MAR","POR"
400128138,128078,"ENG","FRA"
400128143,128080,"ARG","CRO"
400128142,128081,"FRA","MAR"
400128144,128082,"CRO","MAR"
400128145,128083,"ARG","FRA"
